GISJOIN,STATE,STATE.1,Total,GZ,ML,GX,BB,SG
G010,AL,Alabama,4864680,1230306,967076,1240451,1106072,320775
G020,AK,Alaska,738516,204040,175268,186023,148123,25062
G040,AZ,Arizona,6946685,1824398,1434166,1700483,1503553,484085
G050,AR,Arkansas,2990671,786958,593825,745064,661312,203512
G060,CA,California,39148760,10120245,8713642,10341018,7719829,2254026
G080,CO,Colorado,5531141,1404562,1227144,1464631,1149997,284807
G090,CT,Connecticut,3581504,857306,685338,949161,829533,260166
G100,DE,Delaware,949495,228494,187380,236691,229467,67463
G110,DC,District of Columbia,684498,143400,213833,175636,116837,34792
G120,FL,Florida,20598139,4627244,3950116,5242596,4961401,1816782
G130,GA,Georgia,10297484,2792291,2138430,2779806,2069892,517065
G150,HI,Hawaii,1422029,336843,301954,354569,321786,106877
G160,ID,Idaho,1687809,485158,333591,408263,360596,100201
G170,IL,Illinois,12821497,3263837,2654618,3358592,2729172,815278
G180,ID,Indiana,6637426,1759907,1334636,1686269,1438246,418368
G190,IA,Iowa,3132499,822354,622305,760605,693612,233623
G200,KS,Kansas,2908776,796939,600382,703628,615070,192757
G210,KY,Kentucky,4440204,1129569,881266,1148585,1000975,279809
G220,LA,Louisiana,4663616,1226349,999218,1162903,1001054,274092
G230,ME,Maine,1332813,287563,233199,343451,361852,106748
G240,MD,Maryland,6003435,1499230,1217418,1618206,1306854,361727
G250,MA,Massachusetts,6830193,1588909,1456131,1791482,1527202,466469
G260,MI,Michigan,9957488,2468124,1962998,2515571,2333104,677691
G270,MN,Minnesota,5527358,1433662,1114878,1411282,1208115,359421
G280,MS,Mississippi,2988762,809389,600822,749187,645407,183957
G290,MO,Missouri,6090062,1543969,1230279,1521480,1374128,420206
G300,MN,Montana,1041732,254030,205394,246811,261445,74052
G310,NE,Nebraska,1904760,525411,391263,461707,399352,127027
G320,NV,Nevada,2922849,739121,606773,778612,633415,164928
G330,NH,New Hampshire,1343622,301343,251705,356591,341714,92269
G340,NJ,New Jersey,8881845,2189857,1698111,2429469,1960090,604318
G350,NM,New Mexico,2092434,550298,428515,499657,475377,138587
G360,NY,New York,19618453,4656061,4216892,5121716,4274661,1349123
G370,NC,North Carolina,10155624,2573530,2039805,2675879,2237301,629109
G380,ND,North Dakota,752201,195397,180077,171887,153658,51182
G390,OH,Ohio,11641879,2929364,2280911,2937982,2681402,812220
G400,OK,Oklahoma,3918137,1063985,821932,957072,827381,247767
G410,OR,Oregon,4081943,966207,837496,1051879,955791,270570
G420,PA,Pennsylvania,12791181,3027573,2509993,3226516,3033257,993842
G440,RI,Rhode Island,1056611,244443,221857,270056,242845,77410
G450,SC,South Carolina,4955925,1233413,986972,1251109,1166015,318416
G460,SD,South Dakota,864289,236469,175026,201306,191262,60226
G470,TN,Tennessee,6651089,1668647,1344747,1728431,1489778,419486
G480,TX,Texas,27885195,8071626,6092507,7278622,5105341,1337099
G490,UT,Utah,3045350,1008981,704116,722997,479531,129725
G500,VT,Vermont,624977,139372,118724,156851,164736,45294
G510,VA,Virginia,8413774,2099921,1753962,2253368,1809017,497506
G530,WA,Washington,7294336,1807233,1571355,1900610,1592126,423012
G540,WV,West Virginia,1829054,418768,334450,465514,468315,142007
G550,WI,Wisconsin,5778394,1445269,1132140,1472020,1331638,397327
G560,WY,Wyoming,581836,152624,120310,140488,133513,34901
